Movie Title,Year,Score,Directors,Cast,Consensus
The Midnight Gospel,2020,91,"Antonio Canobbio, Ben Kalina, Chris Prynoski, Duncan Trussell","Duncan Trussell, Phil Hendrie, Dr. Drew, Joey Diaz","A space caster traverses trippy worlds inside his universe simulator, exploring existential questions about life, death and everything in between...."
Raising Dion,2019,91,"Carol Barbee, Seith Mann, Dennis Liu, Michael B. Jordan","Alisha Wainwright, Ja'Siah Young, Jazmyn Simon, Sammi Haney",A single mother must hide her young son's superpowers to protect him from exploitation while investigating their origins and her...
The Fall of the House of Usher,2023,90,"Mike Flanagan, Trevor Macy, Emmy Grinwis, Michael Fimognari","Bruce Greenwood, Carla Gugino, Mary McDonnell, Carl Lumbly","Siblings Roderick and Madeline Usher have built a pharmaceutical company into an empire of wealth, privilege and power; however, secrets..."
House,2004,90,"Paul Attanasio, Katie Jacobs, David Shore, Bryan Singer","Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer","At fictional Princeton Plainsboro Teaching Hospital in New Jersey, prickly genius Dr. Gregory House tackles health mysteries as would a..."
The Lincoln Lawyer,2022,90,"David E. Kelley, Ted Humphrey, Michael Connelly, Ross Fineman","Manuel García-Rulfo, Becki Newton, Jazz Raycole, Angus Sampson","Idealistic lawyer Mickey Haller runs practice out of the back of his Lincoln Town Car, taking on cases big and..."
The Flash,2014,89,"Greg Berlanti, Sarah Schechter, Eric Wallace, Sam Chalsen","Grant Gustin, Candice Patton, Danielle Panabaker, Danielle Nicolet","At 11, Barry Allen's life changed completely when his mother died in a freak accident and his innocent father was..."
Seinfeld,1989,89,"Larry David, George Shapiro, Howard West, Andy Ackerman","Jerry Seinfeld, Julia Louis-Dreyfus, Jason Alexander, Michael Richards","Four single friends -- comic Jerry Seinfeld, bungling George Costanza, frustrated working gal Elaine Benes and eccentric neighbor Cosmo Kramer..."
Monk,2002,89,"Andy Breckman, David Hoberman","Tony Shalhoub, Ted Levine, Traylor Howard, Jason Gray-Stanford","After the unsolved murder of his wife, Adrian Monk develops obsessive-compulsive disorder, which includes his terror of germs and contamination...."
All of Us Are Dead,2022,89,Lee Jae-gyu,"Park Ji-hu, Yoon Chan-Young, Cho Yi-hyun, Lomon",Trapped students must escape their high school which has become ground zero for a zombie virus outbreak....
Community,2009,88,"Russ Krasnoff, Dan Harmon, Joe Russo, Anthony Russo","Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie","When fast-talking lawyer Jeff Winger (Joel McHale) finds his degree has been revoked, he is forced to go back to..."
The Sandman,2022,88,"Allan Heinberg, David S. Goyer, Neil Gaiman, Mike Barker","Tom Sturridge, Gwendoline Christie, Vivienne Acheampong, Boyd Holbrook","When the Sandman, aka Dream, the cosmic being who controls all dreams, is captured and held prisoner for more than..."
Dead to Me,2019,88,"Liz Feldman, Jessica Elbaum, Christie Smith, Christina Applegate","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins","Jen's husband recently died in a hit-and-run, and the sardonic widow is determined to solve the crime. Optimistic free spirit..."
